country,continent,year,lifeExp,pop,gdpPercap,iso_alpha,iso_num
Bulgaria,Europe,1952,59.6,7274900,2444.286648,BGR,100
Bulgaria,Europe,1957,66.61,7651254,3008.670727,BGR,100
Bulgaria,Europe,1962,69.51,8012946,4254.337839,BGR,100
Bulgaria,Europe,1967,70.42,8310226,5577.0028,BGR,100
Bulgaria,Europe,1972,70.9,8576200,6597.494398,BGR,100
Bulgaria,Europe,1977,70.81,8797022,7612.240438,BGR,100
Bulgaria,Europe,1982,71.08,8892098,8224.191647,BGR,100
Bulgaria,Europe,1987,71.34,8971958,8239.854824,BGR,100
Bulgaria,Europe,1992,71.19,8658506,6302.623438000001,BGR,100
Bulgaria,Europe,1997,70.32,8066057,5970.38876,BGR,100
Bulgaria,Europe,2002,72.14,7661799,7696.777725,BGR,100
Bulgaria,Europe,2007,73.005,7322858,10680.79282,BGR,100
Canada,Americas,1952,68.75,14785584,11367.16112,CAN,124
Canada,Americas,1957,69.96,17010154,12489.95006,CAN,124
Canada,Americas,1962,71.3,18985849,13462.48555,CAN,124
Canada,Americas,1967,72.13,20819767,16076.58803,CAN,124
Canada,Americas,1972,72.88,22284500,18970.57086,CAN,124
Canada,Americas,1977,74.21,23796400,22090.88306,CAN,124
Canada,Americas,1982,75.76,25201900,22898.79214,CAN,124
Canada,Americas,1987,76.86,26549700,26626.51503,CAN,124
Canada,Americas,1992,77.95,28523502,26342.88426,CAN,124
Canada,Americas,1997,78.61,30305843,28954.92589,CAN,124
Canada,Americas,2002,79.77,31902268,33328.96507,CAN,124
Canada,Americas,2007,80.653,33390141,36319.23501,CAN,124
Croatia,Europe,1952,61.21,3882229,3119.23652,HRV,191
Croatia,Europe,1957,64.77,3991242,4338.231617,HRV,191
Croatia,Europe,1962,67.13,4076557,5477.890018,HRV,191
Croatia,Europe,1967,68.5,4174366,6960.297861,HRV,191
Croatia,Europe,1972,69.61,4225310,9164.090127,HRV,191
Croatia,Europe,1977,70.64,4318673,11305.38517,HRV,191
Croatia,Europe,1982,70.46,4413368,13221.82184,HRV,191
Croatia,Europe,1987,71.52,4484310,13822.58394,HRV,191
Croatia,Europe,1992,72.527,4494013,8447.794873,HRV,191
Croatia,Europe,1997,73.68,4444595,9875.604515,HRV,191
Croatia,Europe,2002,74.876,4481020,11628.38895,HRV,191
Croatia,Europe,2007,75.748,4493312,14619.222719999998,HRV,191
Denmark,Europe,1952,70.78,4334000,9692.385245,DNK,208
Denmark,Europe,1957,71.81,4487831,11099.65935,DNK,208
Denmark,Europe,1962,72.35,4646899,13583.31351,DNK,208
Denmark,Europe,1967,72.96,4838800,15937.21123,DNK,208
Denmark,Europe,1972,73.47,4991596,18866.20721,DNK,208
Denmark,Europe,1977,74.69,5088419,20422.9015,DNK,208
Denmark,Europe,1982,74.63,5117810,21688.04048,DNK,208
Denmark,Europe,1987,74.8,5127024,25116.17581,DNK,208
Denmark,Europe,1992,75.33,5171393,26406.73985,DNK,208
Denmark,Europe,1997,76.11,5283663,29804.34567,DNK,208
Denmark,Europe,2002,77.18,5374693,32166.50006,DNK,208
Denmark,Europe,2007,78.332,5468120,35278.41874,DNK,208
Finland,Europe,1952,66.55,4090500,6424.519071,FIN,246
Finland,Europe,1957,67.49,4324000,7545.415386,FIN,246
Finland,Europe,1962,68.75,4491443,9371.842561,FIN,246
Finland,Europe,1967,69.83,4605744,10921.63626,FIN,246
Finland,Europe,1972,70.87,4639657,14358.8759,FIN,246
Finland,Europe,1977,72.52,4738902,15605.42283,FIN,246
Finland,Europe,1982,74.55,4826933,18533.15761,FIN,246
Finland,Europe,1987,74.83,4931729,21141.01223,FIN,246
Finland,Europe,1992,75.7,5041039,20647.16499,FIN,246
Finland,Europe,1997,77.13,5134406,23723.9502,FIN,246
Finland,Europe,2002,78.37,5193039,28204.59057,FIN,246
Finland,Europe,2007,79.313,5238460,33207.0844,FIN,246
France,Europe,1952,67.41,42459667,7029.809327,FRA,250
France,Europe,1957,68.93,44310863,8662.834898000001,FRA,250
France,Europe,1962,70.51,47124000,10560.48553,FRA,250
France,Europe,1967,71.55,49569000,12999.91766,FRA,250
France,Europe,1972,72.38,51732000,16107.19171,FRA,250
France,Europe,1977,73.83,53165019,18292.63514,FRA,250
France,Europe,1982,74.89,54433565,20293.89746,FRA,250
France,Europe,1987,76.34,55630100,22066.44214,FRA,250
France,Europe,1992,77.46,57374179,24703.79615,FRA,250
France,Europe,1997,78.64,58623428,25889.78487,FRA,250
France,Europe,2002,79.59,59925035,28926.03234,FRA,250
France,Europe,2007,80.657,61083916,30470.0167,FRA,250
Germany,Europe,1952,67.5,69145952,7144.114393000002,DEU,276
Germany,Europe,1957,69.1,71019069,10187.82665,DEU,276
Germany,Europe,1962,70.3,73739117,12902.46291,DEU,276
Germany,Europe,1967,70.8,76368453,14745.62561,DEU,276
Germany,Europe,1972,71.0,78717088,18016.18027,DEU,276
Germany,Europe,1977,72.5,78160773,20512.92123,DEU,276
Germany,Europe,1982,73.8,78335266,22031.53274,DEU,276
Germany,Europe,1987,74.847,77718298,24639.18566,DEU,276
Germany,Europe,1992,76.07,80597764,26505.30317,DEU,276
Germany,Europe,1997,77.34,82011073,27788.88416,DEU,276
Germany,Europe,2002,78.67,82350671,30035.80198,DEU,276
Germany,Europe,2007,79.406,82400996,32170.37442,DEU,276
Greece,Europe,1952,65.86,7733250,3530.690067,GRC,300
Greece,Europe,1957,67.86,8096218,4916.299889,GRC,300
Greece,Europe,1962,69.51,8448233,6017.190732999999,GRC,300
Greece,Europe,1967,71.0,8716441,8513.097016,GRC,300
Greece,Europe,1972,72.34,8888628,12724.82957,GRC,300
Greece,Europe,1977,73.68,9308479,14195.52428,GRC,300
Greece,Europe,1982,75.24,9786480,15268.42089,GRC,300
Greece,Europe,1987,76.67,9974490,16120.52839,GRC,300
Greece,Europe,1992,77.03,10325429,17541.49634,GRC,300
Greece,Europe,1997,77.869,10502372,18747.69814,GRC,300
Greece,Europe,2002,78.256,10603863,22514.2548,GRC,300
Greece,Europe,2007,79.483,10706290,27538.41188,GRC,300
Hungary,Europe,1952,64.03,9504000,5263.673816,HUN,348
Hungary,Europe,1957,66.41,9839000,6040.180011,HUN,348
Hungary,Europe,1962,67.96,10063000,7550.359877,HUN,348
Hungary,Europe,1967,69.5,10223422,9326.64467,HUN,348
Hungary,Europe,1972,69.76,10394091,10168.65611,HUN,348
Hungary,Europe,1977,69.95,10637171,11674.83737,HUN,348
Hungary,Europe,1982,69.39,10705535,12545.99066,HUN,348
Hungary,Europe,1987,69.58,10612740,12986.47998,HUN,348
Hungary,Europe,1992,69.17,10348684,10535.62855,HUN,348
Hungary,Europe,1997,71.04,10244684,11712.7768,HUN,348
Hungary,Europe,2002,72.59,10083313,14843.93556,HUN,348
Hungary,Europe,2007,73.33800000000002,9956108,18008.94444,HUN,348
Ireland,Europe,1952,66.91,2952156,5210.280328,IRL,372
Ireland,Europe,1957,68.9,2878220,5599.077872,IRL,372
Ireland,Europe,1962,70.29,2830000,6631.597314,IRL,372
Ireland,Europe,1967,71.08,2900100,7655.568963,IRL,372
Ireland,Europe,1972,71.28,3024400,9530.772896,IRL,372
Ireland,Europe,1977,72.03,3271900,11150.98113,IRL,372
Ireland,Europe,1982,73.1,3480000,12618.32141,IRL,372
Ireland,Europe,1987,74.36,3539900,13872.86652,IRL,372
Ireland,Europe,1992,75.467,3557761,17558.81555,IRL,372
Ireland,Europe,1997,76.122,3667233,24521.94713,IRL,372
Ireland,Europe,2002,77.783,3879155,34077.04939,IRL,372
Ireland,Europe,2007,78.885,4109086,40675.99635,IRL,372
Israel,Asia,1952,65.39,1620914,4086.522128,ISR,376
Israel,Asia,1957,67.84,1944401,5385.278451,ISR,376
Israel,Asia,1962,69.39,2310904,7105.630706,ISR,376
Israel,Asia,1967,70.75,2693585,8393.741404,ISR,376
Israel,Asia,1972,71.63,3095893,12786.93223,ISR,376
Israel,Asia,1977,73.06,3495918,13306.61921,ISR,376
Israel,Asia,1982,74.45,3858421,15367.0292,ISR,376
Israel,Asia,1987,75.6,4203148,17122.47986,ISR,376
Israel,Asia,1992,76.93,4936550,18051.52254,ISR,376
Israel,Asia,1997,78.26899999999998,5531387,20896.60924,ISR,376
Israel,Asia,2002,79.696,6029529,21905.59514,ISR,376
Israel,Asia,2007,80.745,6426679,25523.2771,ISR,376
Italy,Europe,1952,65.94,47666000,4931.404154999998,ITA,380
Italy,Europe,1957,67.81,49182000,6248.656232,ITA,380
Italy,Europe,1962,69.24,50843200,8243.58234,ITA,380
Italy,Europe,1967,71.06,52667100,10022.40131,ITA,380
Italy,Europe,1972,72.19,54365564,12269.27378,ITA,380
Italy,Europe,1977,73.48,56059245,14255.98475,ITA,380
Italy,Europe,1982,74.98,56535636,16537.4835,ITA,380
Italy,Europe,1987,76.42,56729703,19207.23482,ITA,380
Italy,Europe,1992,77.44,56840847,22013.64486,ITA,380
Italy,Europe,1997,78.82,57479469,24675.02446,ITA,380
Italy,Europe,2002,80.24,57926999,27968.09817,ITA,380
Italy,Europe,2007,80.546,58147733,28569.7197,ITA,380
Netherlands,Europe,1952,72.13,10381988,8941.571858,NLD,528
Netherlands,Europe,1957,72.99,11026383,11276.19344,NLD,528
Netherlands,Europe,1962,73.23,11805689,12790.84956,NLD,528
Netherlands,Europe,1967,73.82,12596822,15363.25136,NLD,528
Netherlands,Europe,1972,73.75,13329874,18794.74567,NLD,528
Netherlands,Europe,1977,75.24,13852989,21209.0592,NLD,528
Netherlands,Europe,1982,76.05,14310401,21399.46046,NLD,528
Netherlands,Europe,1987,76.83,14665278,23651.32361,NLD,528
Netherlands,Europe,1992,77.42,15174244,26790.94961,NLD,528
Netherlands,Europe,1997,78.03,15604464,30246.13063,NLD,528
Netherlands,Europe,2002,78.53,16122830,33724.75778,NLD,528
Netherlands,Europe,2007,79.762,16570613,36797.93332,NLD,528
New Zealand,Oceania,1952,69.39,1994794,10556.57566,NZL,554
New Zealand,Oceania,1957,70.26,2229407,12247.39532,NZL,554
New Zealand,Oceania,1962,71.24,2488550,13175.678,NZL,554
New Zealand,Oceania,1967,71.52,2728150,14463.918930000002,NZL,554
New Zealand,Oceania,1972,71.89,2929100,16046.03728,NZL,554
New Zealand,Oceania,1977,72.22,3164900,16233.7177,NZL,554
New Zealand,Oceania,1982,73.84,3210650,17632.4104,NZL,554
New Zealand,Oceania,1987,74.32,3317166,19007.19129,NZL,554
New Zealand,Oceania,1992,76.33,3437674,18363.32494,NZL,554
New Zealand,Oceania,1997,77.55,3676187,21050.41377,NZL,554
New Zealand,Oceania,2002,79.11,3908037,23189.80135,NZL,554
New Zealand,Oceania,2007,80.204,4115771,25185.00911,NZL,554
Poland,Europe,1952,61.31,25730551,4029.329699,POL,616
Poland,Europe,1957,65.77,28235346,4734.253019,POL,616
Poland,Europe,1962,67.64,30329617,5338.752143,POL,616
Poland,Europe,1967,69.61,31785378,6557.152776,POL,616
Poland,Europe,1972,70.85,33039545,8006.506993000001,POL,616
Poland,Europe,1977,70.67,34621254,9508.141454,POL,616
Poland,Europe,1982,71.32,36227381,8451.531004,POL,616
Poland,Europe,1987,70.98,37740710,9082.351172,POL,616
Poland,Europe,1992,70.99,38370697,7738.881247,POL,616
Poland,Europe,1997,72.75,38654957,10159.58368,POL,616
Poland,Europe,2002,74.67,38625976,12002.23908,POL,616
Poland,Europe,2007,75.563,38518241,15389.924680000002,POL,616
Portugal,Europe,1952,59.82,8526050,3068.319867,PRT,620
Portugal,Europe,1957,61.51,8817650,3774.571743,PRT,620
Portugal,Europe,1962,64.39,9019800,4727.954889,PRT,620
Portugal,Europe,1967,66.6,9103000,6361.517993,PRT,620
Portugal,Europe,1972,69.26,8970450,9022.247417,PRT,620
Portugal,Europe,1977,70.41,9662600,10172.48572,PRT,620
Portugal,Europe,1982,72.77,9859650,11753.84291,PRT,620
Portugal,Europe,1987,74.06,9915289,13039.30876,PRT,620
Portugal,Europe,1992,74.86,9927680,16207.266630000002,PRT,620
Portugal,Europe,1997,75.97,10156415,17641.03156,PRT,620
Portugal,Europe,2002,77.29,10433867,19970.90787,PRT,620
Portugal,Europe,2007,78.098,10642836,20509.64777,PRT,620
Romania,Europe,1952,61.05,16630000,3144.613186,ROU,642
Romania,Europe,1957,64.1,17829327,3943.370225,ROU,642
Romania,Europe,1962,66.8,18680721,4734.997586,ROU,642
Romania,Europe,1967,66.8,19284814,6470.866545,ROU,642
Romania,Europe,1972,69.21,20662648,8011.4144019999985,ROU,642
Romania,Europe,1977,69.46,21658597,9356.39724,ROU,642
Romania,Europe,1982,69.66,22356726,9605.314053,ROU,642
Romania,Europe,1987,69.53,22686371,9696.273295,ROU,642
Romania,Europe,1992,69.36,22797027,6598.409903,ROU,642
Romania,Europe,1997,69.72,22562458,7346.547556999999,ROU,642
Romania,Europe,2002,71.322,22404337,7885.360081,ROU,642
Romania,Europe,2007,72.476,22276056,10808.47561,ROU,642
Slovenia,Europe,1952,65.57,1489518,4215.041741,SVN,705
Slovenia,Europe,1957,67.85,1533070,5862.276629,SVN,705
Slovenia,Europe,1962,69.15,1582962,7402.303395,SVN,705
Slovenia,Europe,1967,69.18,1646912,9405.489397,SVN,705
Slovenia,Europe,1972,69.82,1694510,12383.4862,SVN,705
Slovenia,Europe,1977,70.97,1746919,15277.030169999998,SVN,705
Slovenia,Europe,1982,71.063,1861252,17866.72175,SVN,705
Slovenia,Europe,1987,72.25,1945870,18678.53492,SVN,705
Slovenia,Europe,1992,73.64,1999210,14214.71681,SVN,705
Slovenia,Europe,1997,75.13,2011612,17161.10735,SVN,705
Slovenia,Europe,2002,76.66,2011497,20660.01936,SVN,705
Slovenia,Europe,2007,77.926,2009245,25768.25759,SVN,705
Spain,Europe,1952,64.94,28549870,3834.034742,ESP,724
Spain,Europe,1957,66.66,29841614,4564.80241,ESP,724
Spain,Europe,1962,69.69,31158061,5693.843879,ESP,724
Spain,Europe,1967,71.44,32850275,7993.512294,ESP,724
Spain,Europe,1972,73.06,34513161,10638.75131,ESP,724
Spain,Europe,1977,74.39,36439000,13236.92117,ESP,724
Spain,Europe,1982,76.3,37983310,13926.16997,ESP,724
Spain,Europe,1987,76.9,38880702,15764.98313,ESP,724
Spain,Europe,1992,77.57,39549438,18603.06452,ESP,724
Spain,Europe,1997,78.77,39855442,20445.29896,ESP,724
Spain,Europe,2002,79.78,40152517,24835.47166,ESP,724
Spain,Europe,2007,80.941,40448191,28821.0637,ESP,724
Sweden,Europe,1952,71.86,7124673,8527.844662000001,SWE,752
Sweden,Europe,1957,72.49,7363802,9911.878226,SWE,752
Sweden,Europe,1962,73.37,7561588,12329.44192,SWE,752
Sweden,Europe,1967,74.16,7867931,15258.29697,SWE,752
Sweden,Europe,1972,74.72,8122293,17832.02464,SWE,752
Sweden,Europe,1977,75.44,8251648,18855.72521,SWE,752
Sweden,Europe,1982,76.42,8325260,20667.38125,SWE,752
Sweden,Europe,1987,77.19,8421403,23586.92927,SWE,752
Sweden,Europe,1992,78.16,8718867,23880.01683,SWE,752
Sweden,Europe,1997,79.39,8897619,25266.59499,SWE,752
Sweden,Europe,2002,80.04,8954175,29341.630930000007,SWE,752
Sweden,Europe,2007,80.884,9031088,33859.74835,SWE,752
United States,Americas,1952,68.44,157553000,13990.482080000002,USA,840
United States,Americas,1957,69.49,171984000,14847.12712,USA,840
United States,Americas,1962,70.21,186538000,16173.14586,USA,840
United States,Americas,1967,70.76,198712000,19530.36557,USA,840
United States,Americas,1972,71.34,209896000,21806.03594,USA,840
United States,Americas,1977,73.38,220239000,24072.63213,USA,840
United States,Americas,1982,74.65,232187835,25009.55914,USA,840
United States,Americas,1987,75.02,242803533,29884.350410000006,USA,840
United States,Americas,1992,76.09,256894189,32003.93224,USA,840
United States,Americas,1997,76.81,272911760,35767.43303,USA,840
United States,Americas,2002,77.31,287675526,39097.09955,USA,840
United States,Americas,2007,78.242,301139947,42951.65309,USA,840
