country,continent,year,lifeExp,pop,gdpPercap,iso_alpha,iso_num,gdp_base,pop_base,life_base
Belgium,Europe,1972,71.44,9709100,16672.14356,BEL,56,199.83139737800408,111.21019013436376,105.05882352941175
Belgium,Europe,1977,72.8,9821800,19117.97448,BEL,56,229.14699250438923,112.50108099223345,107.05882352941177
Belgium,Europe,1982,73.93,9856303,20979.84589,BEL,56,251.46328100439388,112.89628602567694,108.72058823529413
Belgium,Europe,1987,75.35,9870200,22525.56308,BEL,56,269.9901623809421,113.05546535355462,110.80882352941175
Belgium,Europe,1992,76.46,10045622,25575.57069,BEL,56,306.54738614322633,115.06478794511823,112.44117647058822
Belgium,Europe,1997,77.53,10199787,27561.19663,BEL,56,330.3469896454537,116.83062813237186,114.01470588235294
Belgium,Europe,2002,78.32,10311970,30485.88375,BEL,56,365.4021288949294,118.11559715729109,115.17647058823528
Belgium,Europe,2007,79.441,10392226,33692.60508,BEL,56,403.8377147012546,119.03486722551817,116.825
Bulgaria,Europe,1952,59.6,7274900,2444.286648,BGR,100,100.0,100.0,100.0
Bulgaria,Europe,1957,66.61,7651254,3008.670727,BGR,100,123.0899301218128,105.17332197006144,111.76174496644296
Bulgaria,Europe,1962,69.51,8012946,4254.337839,BGR,100,174.05232902945517,110.1451016508818,116.6275167785235
Bulgaria,Europe,1967,70.42,8310226,5577.0028,BGR,100,228.16484329132584,114.23148084509754,118.15436241610738
Bulgaria,Europe,1972,70.9,8576200,6597.494398,BGR,100,269.9149219424939,117.88753110008385,118.95973154362416
Bulgaria,Europe,1977,70.81,8797022,7612.240438,BGR,100,311.42993986522,120.92292677562577,118.80872483221476
Bulgaria,Europe,1982,71.08,8892098,8224.191647,BGR,100,336.4659236562667,122.2298313378878,119.26174496644295
Bulgaria,Europe,1987,71.34,8971958,8239.854824,BGR,100,337.1067313542025,123.32757838595721,119.6979865771812
Bulgaria,Europe,1992,71.19,8658506,6302.623438000001,BGR,100,257.8512402854643,119.0189006034447,119.44630872483222
Bulgaria,Europe,1997,70.32,8066057,5970.38876,BGR,100,244.25894421528588,110.87515979601095,117.98657718120805
Bulgaria,Europe,2002,72.14,7661799,7696.777725,BGR,100,314.88850668548923,105.31827241611569,121.04026845637583
Bulgaria,Europe,2007,73.005,7322858,10680.79282,BGR,100,436.9697322013928,100.65922555636504,122.49161073825503
Canada,Americas,1952,68.75,14785584,11367.16112,CAN,124,100.0,100.0,100.0
Canada,Americas,1957,69.96,17010154,12489.95006,CAN,124,109.87747888982152,115.0455335413197,101.75999999999999
Canada,Americas,1962,71.3,18985849,13462.48555,CAN,124,118.43313741997878,128.4078396903362,103.7090909090909
Canada,Americas,1967,72.13,20819767,16076.58803,CAN,124,141.4301060773563,140.81125912916258,104.91636363636363
Canada,Americas,1972,72.88,22284500,18970.57086,CAN,124,166.8892580982436,150.7177531844532,106.00727272727272
Canada,Americas,1977,74.21,23796400,22090.88306,CAN,124,194.33949098453527,160.94325391543546,107.94181818181818
Canada,Americas,1982,75.76,25201900,22898.79214,CAN,124,201.44688632688266,170.44913477884944,110.19636363636364
Canada,Americas,1987,76.86,26549700,26626.51503,CAN,124,234.24067582847806,179.56477065768928,111.79636363636362
Canada,Americas,1992,77.95,28523502,26342.88426,CAN,124,231.7454990028328,192.9142737953401,113.38181818181819
Canada,Americas,1997,78.61,30305843,28954.92589,CAN,124,254.72433780370304,204.96886020870056,114.34181818181818
Canada,Americas,2002,79.77,31902268,33328.96507,CAN,124,293.2039470379214,215.7660326436886,116.02909090909091
Canada,Americas,2007,80.653,33390141,36319.23501,CAN,124,319.5101628857707,225.8290304934861,117.31345454545455
Croatia,Europe,1952,61.21,3882229,3119.23652,HRV,191,100.0,100.0,100.0
Croatia,Europe,1957,64.77,3991242,4338.231617,HRV,191,139.0799187295999,102.80800024934129,105.81604313020748
Croatia,Europe,1962,67.13,4076557,5477.890018,HRV,191,175.61637223970436,105.00557798110313,109.67162228394052
Croatia,Europe,1967,68.5,4174366,6960.297861,HRV,191,223.14107366888612,107.524981138413,111.90981865708218
Croatia,Europe,1972,69.61,4225310,9164.090127,HRV,191,293.7927299915045,108.83721696994175,113.72324783532102
Croatia,Europe,1977,70.64,4318673,11305.38517,HRV,191,362.4407798995634,111.24209828941054,115.40597941512824
Croatia,Europe,1982,70.46,4413368,13221.82184,HRV,191,423.8800666516947,113.68128979511513,115.11190981865707
Croatia,Europe,1987,71.52,4484310,13822.58394,HRV,191,443.1399751628966,115.50864207134612,116.84365299787616
Croatia,Europe,1992,72.527,4494013,8447.794873,HRV,191,270.82892941379134,115.75857580786708,118.4888090181343
Croatia,Europe,1997,73.68,4444595,9875.604515,HRV,191,316.6032601785517,114.48564729180066,120.37248815553015
Croatia,Europe,2002,74.876,4481020,11628.38895,HRV,191,372.79599913122337,115.42389694167964,122.32641725208299
Croatia,Europe,2007,75.748,4493312,14619.222719999998,HRV,191,468.6795190510272,115.74051917081655,123.75102107498775
Denmark,Europe,1952,70.78,4334000,9692.385245,DNK,208,100.0,100.0,100.0
Denmark,Europe,1957,71.81,4487831,11099.65935,DNK,208,114.51937855778039,103.5494000922935,101.45521333710089
Denmark,Europe,1962,72.35,4646899,13583.31351,DNK,208,140.1441767598663,107.21963544070144,102.21814071771686
Denmark,Europe,1967,72.96,4838800,15937.21123,DNK,208,164.4302287532526,111.64743885556068,103.07996609211641
Denmark,Europe,1972,73.47,4991596,18866.20721,DNK,208,194.64978674606945,115.17295800646055,103.80050861825374
Denmark,Europe,1977,74.69,5088419,20422.9015,DNK,208,210.71078979795547,117.40699123211813,105.52415936705285
Denmark,Europe,1982,74.63,5117810,21688.04048,DNK,208,223.76370657767842,118.0851407475773,105.4393896580955
Denmark,Europe,1987,74.8,5127024,25116.17581,DNK,208,259.1330738009682,118.29773880941394,105.67957050014127
Denmark,Europe,1992,75.33,5171393,26406.73985,DNK,208,272.4483105293655,119.3214813105676,106.42836959593104
Denmark,Europe,1997,76.11,5283663,29804.34567,DNK,208,307.5026932650571,121.91192893401015,107.53037581237636
Denmark,Europe,2002,77.18,5374693,32166.50006,DNK,208,331.8739324419002,124.01229810798338,109.04210228878215
Denmark,Europe,2007,78.332,5468120,35278.41874,DNK,208,363.980773032098,126.16797415782189,110.66968070076291
Finland,Europe,1952,66.55,4090500,6424.519071,FIN,246,100.0,100.0,100.0
Finland,Europe,1957,67.49,4324000,7545.415386,FIN,246,117.44716301115328,105.70834861263904,101.41247182569498
Finland,Europe,1962,68.75,4491443,9371.842561,FIN,246,145.8761731022652,109.80180906979587,103.30578512396696
Finland,Europe,1967,69.83,4605744,10921.63626,FIN,246,169.99928149174298,112.59611294462779,104.92862509391436
Finland,Europe,1972,70.87,4639657,14358.8759,FIN,246,223.50117948618663,113.42518029580735,106.49135987978964
Finland,Europe,1977,72.52,4738902,15605.42283,FIN,246,242.90414048955355,115.85141180784746,108.97069872276484
Finland,Europe,1982,74.55,4826933,18533.15761,FIN,246,288.47540812288764,118.00349590514607,112.02103681442523
Finland,Europe,1987,74.83,4931729,21141.01223,FIN,246,329.0676235273331,120.56543209876543,112.44177310293013
Finland,Europe,1992,75.7,5041039,20647.16499,FIN,246,321.3807097748438,123.23772154993277,113.74906085649887
Finland,Europe,1997,77.13,5134406,23723.9502,FIN,246,369.27200211902056,125.52025424764699,115.89782118707738
Finland,Europe,2002,78.37,5193039,28204.59057,FIN,246,439.01481586869744,126.95364869820315,117.76108189331332
Finland,Europe,2007,79.313,5238460,33207.0844,FIN,246,516.8804704759199,128.0640508495294,119.17806160781367
France,Europe,1952,67.41,42459667,7029.809327,FRA,250,100.0,100.0,100.0
France,Europe,1957,68.93,44310863,8662.834898000001,FRA,250,123.23001229532495,104.3598928837572,102.25485832962471
France,Europe,1962,70.51,47124000,10560.48553,FRA,250,150.22435230838232,110.98532638044476,104.59872422489246
France,Europe,1967,71.55,49569000,12999.91766,FRA,250,184.92560829594743,116.74373235192826,106.14152202937251
France,Europe,1972,72.38,51732000,16107.19171,FRA,250,229.1270070176115,121.8379786162713,107.37279335410177
France,Europe,1977,73.83,53165019,18292.63514,FRA,250,260.2152389787001,125.21299095445096,109.52380952380953
France,Europe,1982,74.89,54433565,20293.89746,FRA,250,288.6834694371505,128.2006403865579,111.09627651683726
France,Europe,1987,76.34,55630100,22066.44214,FRA,250,313.8981601570258,131.01869122054111,113.24729268654504
France,Europe,1992,77.46,57374179,24703.79615,FRA,250,351.41488198147823,135.12630468816442,114.90876724521584
France,Europe,1997,78.64,58623428,25889.78487,FRA,250,368.285733875638,138.06850628385757,116.65924936952976
France,Europe,2002,79.59,59925035,28926.03234,FRA,250,411.476769773844,141.1340201985098,118.06853582554517
France,Europe,2007,80.657,61083916,30470.0167,FRA,250,433.4401586536801,143.86338922535592,119.65138703456462
Germany,Europe,1952,67.5,69145952,7144.114393000002,DEU,276,100.0,100.0,100.0
Germany,Europe,1957,69.1,71019069,10187.82665,DEU,276,142.6044725709083,102.70893225969324,102.37037037037035
Germany,Europe,1962,70.3,73739117,12902.46291,DEU,276,180.60269195356372,106.64270990151383,104.14814814814815
Germany,Europe,1967,70.8,76368453,14745.62561,DEU,276,206.4024286123997,110.4452983740827,104.88888888888887
Germany,Europe,1972,71.0,78717088,18016.18027,DEU,276,252.1821359362995,113.84193249664132,105.18518518518518
Germany,Europe,1977,72.5,78160773,20512.92123,DEU,276,287.13035796430023,113.0373806987284,107.40740740740742
Germany,Europe,1982,73.8,78335266,22031.53274,DEU,276,308.3871775847696,113.28973531234337,109.33333333333333
Germany,Europe,1987,74.847,77718298,24639.18566,DEU,276,344.88789379047665,112.39746615969652,110.88444444444443
Germany,Europe,1992,76.07,80597764,26505.30317,DEU,276,371.00894123378845,116.56179670503344,112.6962962962963
Germany,Europe,1997,77.34,82011073,27788.88416,DEU,276,388.9759126369576,118.60574715928418,114.57777777777778
Germany,Europe,2002,78.67,82350671,30035.80198,DEU,276,420.4272262133694,119.09687930827823,116.54814814814816
Germany,Europe,2007,79.406,82400996,32170.37442,DEU,276,450.30598126370165,119.16966014149317,117.63851851851852
Greece,Europe,1952,65.86,7733250,3530.690067,GRC,300,100.0,100.0,100.0
Greece,Europe,1957,67.86,8096218,4916.299889,GRC,300,139.244731078232,104.69360230174894,103.03674460977832
Greece,Europe,1962,69.51,8448233,6017.190732999999,GRC,300,170.42534515392228,109.24556945656742,105.54205891284545
Greece,Europe,1967,71.0,8716441,8513.097016,GRC,300,241.11708630470395,112.71381372644103,107.80443364713028
Greece,Europe,1972,72.34,8888628,12724.82957,GRC,300,360.40630382525165,114.94039375424303,109.83905253568176
Greece,Europe,1977,73.68,9308479,14195.52428,GRC,300,402.06090057805125,120.36956001681051,111.87367142423324
Greece,Europe,1982,75.24,9786480,15268.42089,GRC,300,432.4486318611777,126.55067403743574,114.24233221986032
Greece,Europe,1987,76.67,9974490,16120.52839,GRC,300,456.58293659566345,128.9818640287072,116.41360461585182
Greece,Europe,1992,77.03,10325429,17541.49634,GRC,300,496.8291185894115,133.5199172404875,116.9602186456119
Greece,Europe,1997,77.869,10502372,18747.69814,GRC,300,530.9924627830552,135.80799793101218,118.2341330094139
Greece,Europe,2002,78.256,10603863,22514.2548,GRC,300,637.672930015355,137.1203956939191,118.821743091406
Greece,Europe,2007,79.483,10706290,27538.41188,GRC,300,779.9725084167236,138.4448970355284,120.68478590950502
Hungary,Europe,1952,64.03,9504000,5263.673816,HUN,348,100.0,100.0,100.0
Hungary,Europe,1957,66.41,9839000,6040.180011,HUN,348,114.75217162278659,103.52483164983164,103.7170076526628
Hungary,Europe,1962,67.96,10063000,7550.359877,HUN,348,143.4427766790783,105.88173400673399,106.13774793065748
Hungary,Europe,1967,69.5,10223422,9326.64467,HUN,348,177.1888797829717,107.56967592592592,108.54287052943931
Hungary,Europe,1972,69.76,10394091,10168.65611,HUN,348,193.18552907078538,109.3654356060606,108.94893018897392
Hungary,Europe,1977,69.95,10637171,11674.83737,HUN,348,221.8001680596539,111.92309553872053,109.24566609401842
Hungary,Europe,1982,69.39,10705535,12545.99066,HUN,348,238.35045822679825,112.64241372053871,108.37107605809777
Hungary,Europe,1987,69.58,10612740,12986.47998,HUN,348,246.71893498652918,111.66603535353536,108.66781196314228
Hungary,Europe,1992,69.17,10348684,10535.62855,HUN,348,200.15732202050262,108.88766835016834,108.02748711541466
Hungary,Europe,1997,71.04,10244684,11712.7768,HUN,348,222.5209465753111,107.79339225589226,110.94799312822114
Hungary,Europe,2002,72.59,10083313,14843.93556,HUN,348,282.0071318796172,106.09546506734007,113.36873340621585
Hungary,Europe,2007,73.33800000000002,9956108,18008.94444,HUN,348,342.1364064250747,104.75702861952863,114.53693581133845
Ireland,Europe,1952,66.91,2952156,5210.280328,IRL,372,100.0,100.0,100.0
Ireland,Europe,1957,68.9,2878220,5599.077872,IRL,372,107.46212333164888,97.49552530421835,102.97414437303843
Ireland,Europe,1962,70.29,2830000,6631.597314,IRL,372,127.27908858112404,95.86214278649231,105.0515617994321
Ireland,Europe,1967,71.08,2900100,7655.568963,IRL,372,146.93199753301258,98.23667854950754,106.23225227918098
Ireland,Europe,1972,71.28,3024400,9530.772896,IRL,372,182.9224589852049,102.44716065140189,106.53116126139591
Ireland,Europe,1977,72.03,3271900,11150.98113,IRL,372,214.0188325391002,110.830863951634,107.65206994470185
Ireland,Europe,1982,73.1,3480000,12618.32141,IRL,372,242.18123816081936,117.87994943356652,109.25123299955163
Ireland,Europe,1987,74.36,3539900,13872.86652,IRL,372,266.2595032641015,119.90897499996613,111.13435958750561
Ireland,Europe,1992,75.467,3557761,17558.81555,IRL,372,337.0032789913257,120.51399045307905,112.78882080406515
Ireland,Europe,1997,76.122,3667233,24521.94713,IRL,372,470.645446814431,124.22219557503058,113.76774772081902
Ireland,Europe,2002,77.783,3879155,34077.04939,IRL,372,654.0348550320842,131.40074576004793,116.2501868181139
Ireland,Europe,2007,78.885,4109086,40675.99635,IRL,372,780.6872910735256,139.18932468338394,117.89717531011807
Israel,Asia,1952,65.39,1620914,4086.522128,ISR,376,100.0,100.0,100.0
Israel,Asia,1957,67.84,1944401,5385.278451,ISR,376,131.78145822583932,119.95707360168399,103.74675026762503
Israel,Asia,1962,69.39,2310904,7105.630706,ISR,376,173.87965814044406,142.567958571522,106.11714329408166
Israel,Asia,1967,70.75,2693585,8393.741404,ISR,376,205.40061061918223,166.17692240303927,108.19697201406943
Israel,Asia,1972,71.63,3095893,12786.93223,ISR,376,312.9050040470012,190.99674628018514,109.54274353876738
Israel,Asia,1977,73.06,3495918,13306.61921,ISR,376,325.62210097495404,215.67572369663043,111.72962226640159
Israel,Asia,1982,74.45,3858421,15367.0292,ISR,376,376.0417469590661,238.03983431570092,113.85532956109496
Israel,Asia,1987,75.6,4203148,17122.47986,ISR,376,418.9988289230181,259.3072797199605,115.61400825814343
Israel,Asia,1992,76.93,4936550,18051.52254,ISR,376,441.7331406653771,304.55348032036244,117.6479584034256
Israel,Asia,1997,78.26899999999998,5531387,20896.60924,ISR,376,511.35436406475765,341.2511089422388,119.6956721211194
Israel,Asia,2002,79.696,6029529,21905.59514,ISR,376,536.0449412449627,371.9832761022485,121.87796299128306
Israel,Asia,2007,80.745,6426679,25523.2771,ISR,376,624.5721006897237,396.48488445407963,123.482183820156
Italy,Europe,1952,65.94,47666000,4931.404154999998,ITA,380,100.0,100.0,100.0
Italy,Europe,1957,67.81,49182000,6248.656232,ITA,380,126.71150113836092,103.18046406243444,102.83591143463755
Italy,Europe,1962,69.24,50843200,8243.58234,ITA,380,167.16501184843577,106.66554776989886,105.00454959053684
Italy,Europe,1967,71.06,52667100,10022.40131,ITA,380,203.23625878114635,110.49196492258633,107.76463451622689
Italy,Europe,1972,72.19,54365564,12269.27378,ITA,380,248.79878822262143,114.05522594721604,109.478313618441
Italy,Europe,1977,73.48,56059245,14255.98475,ITA,380,289.0857107208647,117.60845256577015,111.43463754928725
Italy,Europe,1982,74.98,56535636,16537.4835,ITA,380,335.35039879529006,118.60788822221289,113.70943281771308
Italy,Europe,1987,76.42,56729703,19207.23482,ITA,380,389.4881501554805,119.01502748290187,115.89323627540189
Italy,Europe,1992,77.44,56840847,22013.64486,ITA,380,446.39709437889314,119.24819997482483,117.44009705793145
Italy,Europe,1997,78.82,57479469,24675.02446,ITA,380,500.3650823261313,120.58798514664542,119.53290870488323
Italy,Europe,2002,80.24,57926999,27968.09817,ITA,380,567.142689808599,121.52687240380983,121.68638155899303
Italy,Europe,2007,80.546,58147733,28569.7197,ITA,380,579.342491550462,121.98995720219862,122.15043979375191
Netherlands,Europe,1952,72.13,10381988,8941.571858,NLD,528,100.0,100.0,100.0
Netherlands,Europe,1957,72.99,11026383,11276.19344,NLD,528,126.10974467437983,106.20685556561999,101.19229169554971
Netherlands,Europe,1962,73.23,11805689,12790.84956,NLD,528,143.04922851518623,113.71318287017861,101.52502426174964
Netherlands,Europe,1967,73.82,12596822,15363.25136,NLD,528,171.81823961135584,121.33342862657904,102.3429918203244
Netherlands,Europe,1972,73.75,13329874,18794.74567,NLD,528,210.19509733274015,128.3942343219815,102.24594482184945
Netherlands,Europe,1977,75.24,13852989,21209.0592,NLD,528,237.1960941187797,133.432912848676,104.31165950367391
Netherlands,Europe,1982,76.05,14310401,21399.46046,NLD,528,239.32548773126462,137.8387357026419,105.43463191459865
Netherlands,Europe,1987,76.83,14665278,23651.32361,NLD,528,264.5096856078971,141.2569346063586,106.51601275474837
Netherlands,Europe,1992,77.42,15174244,26790.94961,NLD,528,299.622371049115,146.15932902253402,107.33398031332317
Netherlands,Europe,1997,78.03,15604464,30246.13063,NLD,528,338.26413420744217,150.30323672113664,108.17967558574797
Netherlands,Europe,2002,78.53,16122830,33724.75778,NLD,528,377.16811222432386,155.29617256348206,108.87286843199779
Netherlands,Europe,2007,79.762,16570613,36797.93332,NLD,528,411.537634594716,159.6092482480234,110.58089560515737
New Zealand,Oceania,1952,69.39,1994794,10556.57566,NZL,554,100.0,100.0,100.0
New Zealand,Oceania,1957,70.26,2229407,12247.39532,NZL,554,116.01674363408105,111.76126457168007,101.25378296584522
New Zealand,Oceania,1962,71.24,2488550,13175.678,NZL,554,124.8101507946754,124.75223005483274,102.66609021472834
New Zealand,Oceania,1967,71.52,2728150,14463.918930000002,NZL,554,137.01335921652458,136.76349537847017,103.06960657155209
New Zealand,Oceania,1972,71.89,2929100,16046.03728,NZL,554,152.00040047834983,146.8372172765709,103.60282461449776
New Zealand,Oceania,1977,72.22,3164900,16233.7177,NZL,554,153.77825369557382,158.65798673948288,104.07839746361147
New Zealand,Oceania,1982,73.84,3210650,17632.4104,NZL,554,167.02774619246182,160.9514566416382,106.41302781380604
New Zealand,Oceania,1987,74.32,3317166,19007.19129,NZL,554,180.050727642869,166.2911558787524,107.10477013978958
New Zealand,Oceania,1992,76.33,3437674,18363.32494,NZL,554,173.95153060457486,172.33228092725363,110.0014411298458
New Zealand,Oceania,1997,77.55,3676187,21050.41377,NZL,554,199.4057016970217,184.28905440862567,111.75961954172071
New Zealand,Oceania,2002,79.11,3908037,23189.80135,NZL,554,219.67162550512143,195.91180843736245,114.00778210116731
New Zealand,Oceania,2007,80.204,4115771,25185.00911,NZL,554,238.57176722020478,206.32561557734786,115.58437815247153
Poland,Europe,1952,61.31,25730551,4029.329699,POL,616,100.0,100.0,100.0
Poland,Europe,1957,65.77,28235346,4734.253019,POL,616,117.4948036685841,109.73471186062046,107.27450660577394
Poland,Europe,1962,67.64,30329617,5338.752143,POL,616,132.4972772599118,117.87395069775226,110.32458000326211
Poland,Europe,1967,69.61,31785378,6557.152776,POL,616,162.73557305641572,123.5316647513689,113.53775893002774
Poland,Europe,1972,70.85,33039545,8006.506993000001,POL,616,198.70568037624366,128.40589772057348,115.560267493068
Poland,Europe,1977,70.67,34621254,9508.141454,POL,616,235.97328003116087,134.55309993167265,115.26667754036862
Poland,Europe,1982,71.32,36227381,8451.531004,POL,616,209.75029683218781,140.7952010044402,116.32686348067199
Poland,Europe,1987,70.98,37740710,9082.351172,POL,616,225.40600671754564,146.67664909313447,115.77230468112869
Poland,Europe,1992,70.99,38370697,7738.881247,POL,616,192.0637382669539,149.12504982889797,115.78861523405641
Poland,Europe,1997,72.75,38654957,10159.58368,POL,616,252.14078864088506,150.22980658284388,118.6592725493394
Poland,Europe,2002,74.67,38625976,12002.23908,POL,616,297.87185404507153,150.1171739384827,121.79089871146631
Poland,Europe,2007,75.563,38518241,15389.924680000002,POL,616,381.94751558353437,149.69846934097913,123.24743108791387
Portugal,Europe,1952,59.82,8526050,3068.319867,PRT,620,100.0,100.0,100.0
Portugal,Europe,1957,61.51,8817650,3774.571743,PRT,620,123.01754401800768,103.42010661443459,102.82514209294551
Portugal,Europe,1962,64.39,9019800,4727.954889,PRT,620,154.0893744439585,105.7910755859982,107.63958542293548
Portugal,Europe,1967,66.6,9103000,6361.517993,PRT,620,207.32903571816556,106.76690847461603,111.33400200601804
Portugal,Europe,1972,69.26,8970450,9022.247417,PRT,620,294.04520415341693,105.21226124641541,115.78067535941156
Portugal,Europe,1977,70.41,9662600,10172.48572,PRT,620,331.5327658438031,113.33032295142533,117.70310932798394
Portugal,Europe,1982,72.77,9859650,11753.84291,PRT,620,383.07097758657505,115.6414752435184,121.64827816783684
Portugal,Europe,1987,74.06,9915289,13039.30876,PRT,620,424.9657573266301,116.29405175902087,123.80474757606153
Portugal,Europe,1992,74.86,9927680,16207.266630000002,PRT,620,528.21307205648,116.43938283261299,125.14209294550318
Portugal,Europe,1997,75.97,10156415,17641.03156,PRT,620,574.9410858278029,119.12216090686778,126.99765964560348
Portugal,Europe,2002,77.29,10433867,19970.90787,PRT,620,650.8743786718114,122.37632901519461,129.20427950518223
Portugal,Europe,2007,78.098,10642836,20509.64777,PRT,620,668.4325187403937,124.82727640583857,130.5549983283183
Romania,Europe,1952,61.05,16630000,3144.613186,ROU,642,100.0,100.0,100.0
Romania,Europe,1957,64.1,17829327,3943.370225,ROU,642,125.40080422470123,107.21182802164762,104.995904995905
Romania,Europe,1962,66.8,18680721,4734.997586,ROU,642,150.57488174000173,112.33145520144316,109.41850941850942
Romania,Europe,1967,66.8,19284814,6470.866545,ROU,642,205.77623263200294,115.96400481058329,109.41850941850942
Romania,Europe,1972,69.21,20662648,8011.4144019999985,ROU,642,254.76629169105055,124.24923631990379,113.36609336609335
Romania,Europe,1977,69.46,21658597,9356.39724,ROU,642,297.53730225565494,130.23810583283225,113.77559377559376
Romania,Europe,1982,69.66,22356726,9605.314053,ROU,642,305.4529598668419,134.4361154539988,114.1031941031941
Romania,Europe,1987,69.53,22686371,9696.273295,ROU,642,308.3455013853014,136.41834636199638,113.89025389025389
Romania,Europe,1992,69.36,22797027,6598.409903,ROU,642,209.8321641713042,137.0837462417318,113.61179361179362
Romania,Europe,1997,69.72,22562458,7346.547556999999,ROU,642,233.62325101564969,135.67322910402885,114.2014742014742
Romania,Europe,2002,71.322,22404337,7885.360081,ROU,642,250.7577121442497,134.72241130487072,116.82555282555282
Romania,Europe,2007,72.476,22276056,10808.47561,ROU,642,343.71399503506376,133.9510282621768,118.71580671580672
Slovenia,Europe,1952,65.57,1489518,4215.041741,SVN,705,100.0,100.0,100.0
Slovenia,Europe,1957,67.85,1533070,5862.276629,SVN,705,139.07991875803347,102.9238988719841,103.47719993899649
Slovenia,Europe,1962,69.15,1582962,7402.303395,SVN,705,175.6163722650072,106.27343879026638,105.45981393930153
Slovenia,Europe,1967,69.18,1646912,9405.489397,SVN,705,223.1410736817185,110.56677394969378,105.50556657007779
Slovenia,Europe,1972,69.82,1694510,12383.4862,SVN,705,293.79272996385725,113.76230431589278,106.48162269330486
Slovenia,Europe,1977,70.97,1746919,15277.030169999998,SVN,705,362.44078015644016,117.28082507227171,108.23547353972856
Slovenia,Europe,1982,71.063,1861252,17866.72175,SVN,705,423.88006686171514,124.9566638335354,108.37730669513499
Slovenia,Europe,1987,72.25,1945870,18678.53492,SVN,705,443.13997506389103,130.63756194957026,110.18758578618271
Slovenia,Europe,1992,73.64,1999210,14214.71681,SVN,705,337.2378658017185,134.2185861466595,112.30745767881653
Slovenia,Europe,1997,75.13,2011612,17161.10735,SVN,705,407.13967748107285,135.05120448359804,114.5798383407046
Slovenia,Europe,2002,76.66,2011497,20660.01936,SVN,705,490.1498165258619,135.04348386525038,116.91322251029435
Slovenia,Europe,2007,77.926,2009245,25768.25759,SVN,705,611.3405079563126,134.89229401725927,118.84398352905295
Spain,Europe,1952,64.94,28549870,3834.034742,ESP,724,100.0,100.0,100.0
Spain,Europe,1957,66.66,29841614,4564.80241,ESP,724,119.06001685365011,104.52451797503805,102.64859870649829
